epoch,hitcount,infectedcount,recoveredcount
0,70,70,0
1,214,214,0
2,507,507,0
3,1066,1066,0
4,1929,1929,0
5,3030,3030,0
6,4293,4293,0
7,5604,5534,70
8,6773,6559,214
9,7677,7170,507
10,8450,7384,1066
11,9105,7176,1929
12,9532,6502,3030
13,9754,5461,4293
14,9882,4278,5604
15,9956,3183,6773
16,9987,2310,7677
17,9993,1543,8450
18,9999,894,9105
19,9999,467,9532
20,9999,245,9754
21,9999,117,9882
22,9999,43,9956
23,9999,12,9987
24,9999,6,9993
25,9999,0,9999
26,9999,0,9999
27,9999,0,9999
28,9999,0,9999
29,9999,0,9999
30,9999,0,9999
